accessionN_SampleN;taxa;lon;lat;n.ind
31jb14_1;ssp. falcata;13,27586;46,57725;4
32jb14_3;ssp. falcata;13,28766;46,60051;2
34jb14_1;ssp. falcata;13,14139;46,64552;5
37jb14_2;ssp. falcata;13,29058;46,62302;1
38jb14_2;ssp. falcata;13,29409;46,66841;3
39jb14_2;ssp. falcata;13,24127;46,72318;3
40jb14_3;ssp. falcata;13,34204;46,8564;3
47jb14_4;ssp. falcata;12,86874;46,47831;1
49jb14_2;ssp. falcata;12,54173;46,56732;2
50jb14_3;ssp. falcata;12,47778;46,54738;1
51jb14_3;ssp. falcata;12,46318;46,54014;2
52jb14_2;ssp. falcata;12,47677;46,50435;1
55jb14_3;ssp. falcata;13,28844;46,51745;3
631808_1_;ssp. falcata;31,43;58,75;1
pi179370_1;ssp. caerulea;39,483;39,733;9
pi210367_1_;ssp. caerulea;44,5483;40,2005;4
pi212798_1_;ssp. caerulea;44,6008;40,1827;5
pi222198_1_;ssp. caerulea;44,6008;40,1827;1
pi234815_1;ssp. falcata;9,533;46,866;5
pi243225_1_;ssp. caerulea;70;41,63;4
pi251690_1_;ssp. falcata;107,4541;49,8252;1
pi251830_1_;ssp. falcata;9,533;46,866;3
pi258752_1_;ssp. falcata;43,0105;43,4602;2
pi283640_1_;ssp. caerulea;36;39,8;4
pi299045_1_;ssp. caerulea;36;39,8;4
pi299046_1_;ssp. caerulea;36;39,8;3
pi307395_1_;ssp. caerulea;36;39,8;4
pi314267_1;ssp. caerulea;69,56;41,46;8
pi314268_1;ssp. caerulea;70;41,63;5
pi314275_1;ssp. caerulea;71,117;41,57;9
pi315460_1_;ssp. xvaria;44,64;42,66;2
pi315462_1_;ssp. caerulea;36;39,8;1
pi315466_1_;ssp. caerulea;36;39,8;4
pi315480_1_;ssp. falcata;39,613;44,245;4
pi325387_1;ssp. falcata;41,6;44,066;7
pi325396_1_;ssp. falcata;41,901;43,858;3
pi325399_1_;ssp. falcata;41,233;43,916;3
pi440500_1;ssp. caerulea;71,37;42,9;9
pi440501_1_;ssp. caerulea;71,77;42,82;4
