"input" "reason" "matches" "organism.shortName" "length" "primaryIdentifier" "class" "briefDescription"
"Medtr4g113970" "MATCH" "1" "M. truncatula Mt4.0v1" "1023" "Medtr4g113970" "Gene" "(1 of 5) PTHR12547:SF70 - ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 39"
"Medtr3g491820" "MATCH" "1" "M. truncatula Mt4.0v1" "2492" "Medtr3g491820" "Gene" "(1 of 1) PTHR37257:SF1 - PLASTID TRANSCRIPTIONALLY ACTIVE7"
"Medtr8g093770" "MATCH" "1" "M. truncatula Mt4.0v1" "2378" "Medtr8g093770" "Gene" "(1 of 3) PTHR11843 - 40S RIBOSOMAL PROTEIN S12"
"Medtr2g076230" "MATCH" "1" "M. truncatula Mt4.0v1" "1542" "Medtr2g076230" "Gene" "(1 of 3) PTHR31174:SF7 - LEA PROTEIN-RELATED"
"Medtr1g013740" "MATCH" "1" "M. truncatula Mt4.0v1" "3953" "Medtr1g013740" "Gene" "(1 of 93) 3.2.1.15 - Polygalacturonase / Pectinase"
"Medtr1g015620" "MATCH" "1" "M. truncatula Mt4.0v1" "22743" "Medtr1g015620" "Gene" "(1 of 2) PTHR13140:SF304 - MYOSIN IA HEAVY CHAIN-RELATED"
"Medtr7g099040" "MATCH" "1" "M. truncatula Mt4.0v1" "2648" "Medtr7g099040" "Gene" "(1 of 2) 1.1.1.284 - S-(hydroxymethyl)glutathione dehydrogenase / NAD-linked formaldehyde dehydrogenase"
"Medtr8g089840" "MATCH" "1" "M. truncatula Mt4.0v1" "2842" "Medtr8g089840" "Gene" "(1 of 4) 2.4.1.144 - Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase / acetylglucosaminyltransferase III"
"Medtr1g094870" "MATCH" "1" "M. truncatula Mt4.0v1" "6640" "Medtr1g094870" "Gene" "(1 of 2) PTHR21049 - RIBOPHORIN I"
"Medtr4g070500" "MATCH" "1" "M. truncatula Mt4.0v1" "750" "Medtr4g070500" "Gene" "(1 of 64) KOG0725 - Reductases with broad range of substrate specificities"
"Medtr5g017800" "MATCH" "1" "M. truncatula Mt4.0v1" "6338" "Medtr5g017800" "Gene" "(1 of 3) PTHR19878:SF4 - TRANSDUCIN/WD40 DOMAIN-CONTAINING PROTEIN"
"Medtr2g039290" "MATCH" "1" "M. truncatula Mt4.0v1" "11238" "Medtr2g039290" "Gene" "(1 of 2) PTHR27001:SF26 - PROTEIN KINASE FAMILY PROTEIN"
"Medtr2g090235" "MATCH" "1" "M. truncatula Mt4.0v1" "2153" "Medtr2g090235" "Gene" "(1 of 6) PTHR31657:SF9 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR CRF5-RELATED"
"Medtr3g072340" "MATCH" "1" "M. truncatula Mt4.0v1" "4458" "Medtr3g072340" "Gene" "(1 of 1) PTHR18901:SF29 - HALOACID DEHALOGENASE-LIKE HYDROLASE"
"Medtr4g104350" "MATCH" "1" "M. truncatula Mt4.0v1" "5070" "Medtr4g104350" "Gene" "(1 of 2) PTHR11669:SF3 - PROTEIN STICHEL-LIKE 2"
"Medtr4g067090" "MATCH" "1" "M. truncatula Mt4.0v1" "9560" "Medtr4g067090" "Gene" ""
"Medtr1g073200" "MATCH" "1" "M. truncatula Mt4.0v1" "6372" "Medtr1g073200" "Gene" "(1 of 1) KOG0454 - 3-isopropylmalate dehydratase (aconitase superfamily)"
"Medtr2g093960" "MATCH" "1" "M. truncatula Mt4.0v1" "2500" "Medtr2g093960" "Gene" "(1 of 1) PTHR10593//PTHR10593:SF45 - SERINE/THREONINE-PROTEIN KINASE RIO"
