"input" "reason" "matches" "organism.shortName" "length" "primaryIdentifier" "class" "briefDescription"
"Medtr5g054300" "MATCH" "1" "M. truncatula Mt4.0v1" "2498" "Medtr5g054300" "Gene" "(1 of 2) PTHR31003:SF4 - GENOMIC DNA, CHROMOSOME 3, TAC CLONE:K13N2-RELATED"
"Medtr7g103280" "MATCH" "1" "M. truncatula Mt4.0v1" "1229" "Medtr7g103280" "Gene" "(1 of 1) PTHR23241:SF44 - LATE EMBRYOGENESIS ABUNDANT DOMAIN-CONTAINING PROTEIN"
"Medtr1g011610" "MATCH" "1" "M. truncatula Mt4.0v1" "10639" "Medtr1g011610" "Gene" "(1 of 3) PTHR22847:SF437 - TRANSCRIPTIONAL COREPRESSOR LEUNIG"
"Medtr8g068150" "MATCH" "1" "M. truncatula Mt4.0v1" "4125" "Medtr8g068150" "Gene" "(1 of 210) PF01535//PF13041 - PPR repeat (PPR)  // PPR repeat family (PPR_2)"
"Medtr5g096020" "MATCH" "1" "M. truncatula Mt4.0v1" "7044" "Medtr5g096020" "Gene" "(1 of 2) PTHR22807:SF30 - RIBOSOMAL RNA METHYLTRANSFERASE NOP2-RELATED"
"Medtr5g022870" "MATCH" "1" "M. truncatula Mt4.0v1" "1327" "Medtr5g022870" "Gene" "(1 of 3) PTHR31235:SF67 - PEROXIDASE 64"
"Medtr2g020370" "MATCH" "1" "M. truncatula Mt4.0v1" "792" "Medtr2g020370" "Gene" "(1 of 1) PTHR35725:SF2 - CLASSICAL ARABINOGALACTAN PROTEIN 25"
"Medtr2g007350" "MATCH" "1" "M. truncatula Mt4.0v1" "1699" "Medtr2g007350" "Gene" ""
"Medtr7g092810" "MATCH" "1" "M. truncatula Mt4.0v1" "9871" "Medtr7g092810" "Gene" "(1 of 3) PF07986 - Tubulin binding cofactor C (TBCC)"
"Medtr3g089055" "MATCH" "1" "M. truncatula Mt4.0v1" "2960" "Medtr3g089055" "Gene" "(1 of 2) PTHR31636:SF10 - SCARECROW-LIKE PROTEIN 1"
"Medtr2g101340" "MATCH" "1" "M. truncatula Mt4.0v1" "667" "Medtr2g101340" "Gene" "(1 of 3) PTHR31985:SF23 - DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 3-RELATED"
"Medtr1g079830" "MATCH" "1" "M. truncatula Mt4.0v1" "2847" "Medtr1g079830" "Gene" "(1 of 1) PTHR36749:SF1 - F7O18.3 PROTEIN"
"Medtr8g018730" "MATCH" "1" "M. truncatula Mt4.0v1" "5417" "Medtr8g018730" "Gene" "(1 of 27) 1.13.11.58 - Linoleate 9S-lipoxygenase / Linoleate 9-lipoxygenase"
"Medtr8g075250" "MATCH" "1" "M. truncatula Mt4.0v1" "6509" "Medtr8g075250" "Gene" "(1 of 1) KOG1970 - Checkpoint RAD17-RFC complex, RAD17/RAD24 component"
"Medtr3g010770" "MATCH" "1" "M. truncatula Mt4.0v1" "5339" "Medtr3g010770" "Gene" "(1 of 2) PTHR31707:SF21 - PECTINESTERASE/PECTINESTERASE INHIBITOR 25-RELATED"
"Medtr2g070020" "MATCH" "1" "M. truncatula Mt4.0v1" "4972" "Medtr2g070020" "Gene" "(1 of 24) PF00069//PF00560//PF08263 - Protein kinase domain (Pkinase)  // Leucine Rich Repeat (LRR_1)  // Leucine rich repeat N-terminal domain (LRRNT_2)"
"Medtr2g079830" "MATCH" "1" "M. truncatula Mt4.0v1" "2472" "Medtr2g079830" "Gene" "(1 of 19) PF06749 - Protein of unknown function (DUF1218) (DUF1218)"
"Medtr2g460760" "MATCH" "1" "M. truncatula Mt4.0v1" "2103" "Medtr2g460760" "Gene" "(1 of 3) 3.4.11.1 - Leucyl aminopeptidase / Peptidase S"
"Medtr2g006750" "MATCH" "1" "M. truncatula Mt4.0v1" "9126" "Medtr2g006750" "Gene" "(1 of 1) PTHR10527:SF6 - IMPORTIN-4"
"Medtr4g070060" "MATCH" "1" "M. truncatula Mt4.0v1" "4433" "Medtr4g070060" "Gene" "(1 of 1) PTHR13068:SF4 - TRANSCRIPTION TERMINATION FACTOR FAMILY PROTEIN"
"Medtr7g056337" "MATCH" "1" "M. truncatula Mt4.0v1" "4509" "Medtr7g056337" "Gene" "(1 of 1) PTHR10585//PTHR10585:SF29 - ER LUMEN PROTEIN RETAINING RECEPTOR"
"Medtr4g063605" "MATCH" "1" "M. truncatula Mt4.0v1" "7099" "Medtr4g063605" "Gene" "(1 of 1) PTHR10174:SF100 - SEC14 CYTOSOLIC FACTOR FAMILY PROTEIN / PHOSPHOGLYCERIDE TRANSFER FAMILY PROTEIN"
"Medtr3g045180" "MATCH" "1" "M. truncatula Mt4.0v1" "7038" "Medtr3g045180" "Gene" "(1 of 3) PF16711 - Actin-binding domain of plant-specific actin-binding protein (SCAB-ABD)"
"Medtr5g042150" "MATCH" "1" "M. truncatula Mt4.0v1" "4888" "Medtr5g042150" "Gene" "(1 of 1) PTHR10783:SF42 - PHOSPHATE TRANSPORTER PHO1 HOMOLOG 10"
"Medtr7g112580" "MATCH" "1" "M. truncatula Mt4.0v1" "2243" "Medtr7g112580" "Gene" "(1 of 1) PTHR31707:SF34 - PECTINESTERASE/PECTINESTERASE INHIBITOR 22-RELATED"
"Medtr2g100850" "MATCH" "1" "M. truncatula Mt4.0v1" "1891" "Medtr2g100850" "Gene" "(1 of 1) PTHR10696//PTHR10696:SF21 - GAMMA-BUTYROBETAINE HYDROXYLASE-RELATED"
"Medtr6g088405" "MATCH" "1" "M. truncatula Mt4.0v1" "660" "Medtr6g088405" "Gene" "(1 of 209) PF00847 - AP2 domain (AP2)"
"Medtr1g007420" "MATCH" "1" "M. truncatula Mt4.0v1" "12464" "Medtr1g007420" "Gene" "(1 of 3) PTHR12482:SF5 - PROTEIN C09D4.4, ISOFORM C"
"Medtr2g100660" "MATCH" "1" "M. truncatula Mt4.0v1" "6642" "Medtr2g100660" "Gene" "(1 of 1) PTHR31846:SF10 - CHLOROPLASTIC GROUP IIA INTRON SPLICING FACILITATOR CRS1, CHLOROPLASTIC"
"Medtr8g075260" "MATCH" "1" "M. truncatula Mt4.0v1" "2542" "Medtr8g075260" "Gene" "(1 of 4) PTHR36326:SF1 - PROTEIN MALE STERILE 5"
"Medtr1g086250" "MATCH" "1" "M. truncatula Mt4.0v1" "7655" "Medtr1g086250" "Gene" "(1 of 2) PTHR31251:SF8 - SQUAMOSA PROMOTER-BINDING-LIKE PROTEIN 1-RELATED"
"Medtr7g072810" "MATCH" "1" "M. truncatula Mt4.0v1" "378" "Medtr7g072810" "Gene" "(1 of 34) PF00234 - Protease inhibitor/seed storage/LTP family (Tryp_alpha_amyl)"
"Medtr8g090000" "MATCH" "1" "M. truncatula Mt4.0v1" "5567" "Medtr8g090000" "Gene" "(1 of 2) PTHR11630:SF43 - DNA REPLICATION LICENSING FACTOR MCM6"
