"DB identifier","Symbol","Chr","Start","End","User input","Extended input"
"Medtr1g007420","","chr1","346727","359190","chr1:349977..349977","chr1:348977..350977"
"Medtr1g010070","","chr1","1724639","1728515","chr1:1724902..1724902","chr1:1723902..1725902"
"Medtr1g011610","","chr1","2100048","2110686","chr1:2108750..2108750","chr1:2107750..2109750"
"Medtr1g034500","","chr1","12570997","12576886","chr1:12573145..12573145","chr1:12572145..12574145"
"Medtr1g079830","","chr1","35470780","35473626","chr1:35471288..35471288","chr1:35470288..35472288"
"Medtr1g086250","","chr1","38604282","38611936","chr1:38611325..38611325","chr1:38610325..38612325"
"Medtr2g006750","","chr2","679311","688436","chr2:683794..683794","chr2:682794..684794"
"Medtr2g007340","","chr2","955202","956149","chr2:956456..956456","chr2:955456..957456"
"Medtr2g007350","","chr2","956761","958459","chr2:956456..956456","chr2:955456..957456"
"Medtr2g020370","","chr2","6774908","6775699","chr2:6775147..6775147","chr2:6774147..6776147"
"Medtr2g020820","","chr2","6993040","6995921","chr2:6995731..6995731","chr2:6994731..6996731"
"Medtr2g034650","","chr2","13256129","13262185","chr2:13257021..13257021","chr2:13256021..13258021"
"Medtr2g460760","","chr2","25065494","25067596","chr2:25066942..25066942","chr2:25065942..25067942"
"Medtr2g070020","","chr2","29473783","29478754","chr2:29475047..29475047","chr2:29474047..29476047"
"Medtr2g079830","","chr2","33642906","33645377","chr2:33643348..33643348","chr2:33642348..33644348"
"Medtr2g082430","","chr2","34549864","34555651","chr2:34554864..34554864","chr2:34553864..34555864"
"Medtr2g100230","","chr2","43035445","43041856","chr2:43040782..43040782","chr2:43039782..43041782"
"Medtr2g100660","","chr2","43269840","43276481","chr2:43270189..43270189","chr2:43269189..43271189"
"Medtr2g100850","","chr2","43374710","43376600","chr2:43375349..43375349","chr2:43374349..43376349"
"Medtr2g101190","","chr2","43503468","43512049","chr2:43504604..43504604","chr2:43503604..43505604"
"Medtr2g101340","","chr2","43561394","43562060","chr2:43561715..43561715","chr2:43560715..43562715"
"Medtr3g010770","","chr3","2571521","2576859","chr3:2574869..2574869","chr3:2573869..2575869"
"Medtr3g045180","","chr3","14610141","14617178","chr3:14613171..14613171","chr3:14612171..14614171"
"Medtr3g064460","","chr3","29037979","29040053","chr3:29037749..29037749","chr3:29036749..29038749"
"Medtr3g089055","","chr3","40766406","40769365","chr3:40767884..40767884","chr3:40766884..40768884"
"Medtr3g095660","","chr3","43696275","43699540","chr3:43696883..43696883","chr3:43695883..43697883"
"Medtr3g109630","","chr3","51284444","51289909","chr3:51289295..51289295","chr3:51288295..51290295"
"Medtr3g117700","","chr3","55105035","55109200","chr3:55108765..55108765","chr3:55107765..55109765"
"Medtr4g045577","","chr4","15326633","15341247","chr4:15328256..15328256","chr4:15327256..15329256"
"Medtr4g063605","","chr4","23497392","23504490","chr4:23497849..23497849","chr4:23496849..23498849"
"Medtr4g068520","","chr4","25738963","25741682","chr4:25739265..25739265","chr4:25738265..25740265"
"Medtr4g070060","","chr4","26365871","26370303","chr4:26367559..26367559","chr4:26366559..26368559"
"Medtr4g109010","","chr4","45189349","45195370","chr4:45191134..45191134","chr4:45190134..45192134"
"Medtr5g022870","","chr5","9057716","9059042","chr5:9058899..9058899","chr5:9057899..9059899"
"Medtr5g042150","","chr5","18541126","18546013","chr5:18544656..18544656","chr5:18543656..18545656"
"Medtr5g054300","","chr5","22394587","22397084","chr5:22395041..22395041","chr5:22394041..22396041"
"Medtr5g059820","","chr5","24860761","24866496","chr5:24866305..24866305","chr5:24865305..24867305"
"Medtr5g089900","","chr5","39105074","39114126","chr5:39112524..39112524","chr5:39111524..39113524"
"Medtr5g096020","","chr5","41975357","41982400","chr5:41975953..41975953","chr5:41974953..41976953"
"Medtr6g088405","","chr6","33589051","33589710","chr6:33589377..33589377","chr6:33588377..33590377"
"Medtr7g031370","","chr7","10925754","10930716","chr7:10928549..10928549","chr7:10927549..10929549"
"Medtr7g056337","","chr7","19832407","19836915","chr7:19833067..19833067","chr7:19832067..19834067"
"Medtr7g072810","","chr7","27158009","27158386","chr7:27157967..27157967","chr7:27156967..27158967"
"Medtr7g092810","","chr7","36822281","36832151","chr7:36829720..36829720","chr7:36828720..36830720"
"Medtr7g103280","","chr7","41770190","41771418","chr7:41770682..41770682","chr7:41769682..41771682"
"Medtr7g112580","","chr7","46310828","46313070","chr7:46311124..46311124","chr7:46310124..46312124"
"Medtr8g015600","","chr8","5118802","5128207","chr8:5123733..5123733","chr8:5122733..5124733"
"Medtr8g018730","","chr8","6448981","6454397","chr8:6454160..6454160","chr8:6453160..6455160"
"Medtr8g032270","","chr8","12129891","12133372","chr8:12131363..12131363","chr8:12130363..12132363"
"Medtr8g063790","","chr8","26727060","26732459","chr8:26728360..26728360","chr8:26727360..26729360"
"Medtr8g068150","","chr8","28404022","28408146","chr8:28405766..28405766","chr8:28404766..28406766"
"Medtr8g075250","","chr8","31809006","31815514","chr8:31816501..31816501","chr8:31815501..31817501"
"Medtr8g075260","","chr8","31815891","31818432","chr8:31816501..31816501","chr8:31815501..31817501"
"Medtr8g090000","","chr8","37644876","37650442","chr8:37647200..37647200","chr8:37646200..37648200"
